metric,ai,baseline,improvement_pct
Avg Waiting Time (s),1.6286,1.5896,-2.46
Avg Travel Time (s),45.4465,44.4767,-2.18
Worst Travel Time (s),84.6000,89.7500,5.74
Avg Queue Length (veh),2.9298,2.6898,-8.92
Max Queue Length (veh),31.0000,31.0000,0.00
Avg Speed (m/s),8.2257,8.2984,-0.88
Throughput (veh completed),240.0000,240.0000,0.00
