metric,ai,baseline,improvement_pct
Avg Waiting Time (s),4.3457,10.7069,59.41
Avg Travel Time (s),53.0426,58.4936,9.32
Worst Travel Time (s),101.2000,213.9500,52.70
Avg Queue Length (veh),8.9089,12.2726,27.41
Max Queue Length (veh),39.0000,44.0000,11.36
Avg Speed (m/s),7.4795,6.8490,9.21
Throughput (veh completed),513.0000,513.0000,0.00
