metric,ai,baseline,improvement_pct
Avg Waiting Time (s),2.8991,3.5560,18.47
Avg Travel Time (s),48.5523,49.0810,1.08
Worst Travel Time (s),95.2000,97.0500,1.91
Avg Queue Length (veh),6.2766,6.5363,3.97
Max Queue Length (veh),31.0000,31.0000,0.00
Avg Speed (m/s),8.1966,8.0689,1.58
Throughput (veh completed),456.0000,456.0000,0.00
