metric,ai,baseline,improvement_pct
Avg Waiting Time (s),6.9209,19.4053,64.34
Avg Travel Time (s),74.1671,118.3816,37.35
Worst Travel Time (s),139.2000,326.9000,57.42
Avg Queue Length (veh),38.7749,80.0260,51.55
Max Queue Length (veh),78.0000,158.0000,50.63
Avg Speed (m/s),5.5173,3.7924,45.48
Throughput (veh completed),1200.0000,1200.0000,0.00
