metric,ai,baseline,improvement_pct
Avg Waiting Time (s),4.0482,12.0775,66.48
Avg Travel Time (s),57.2322,72.0026,20.51
Worst Travel Time (s),119.0000,199.0000,40.20
Avg Queue Length (veh),16.7522,31.0044,45.97
Max Queue Length (veh),44.0000,63.0000,30.16
Avg Speed (m/s),6.9110,5.5422,24.70
Throughput (veh completed),888.0000,888.0000,0.00
