metric,ai,baseline,improvement_pct
Avg Waiting Time (s),4.4533,27.5801,83.85
Avg Travel Time (s),63.6103,96.4504,34.05
Worst Travel Time (s),153.0000,514.0000,70.23
Avg Queue Length (veh),13.4986,35.9624,62.46
Max Queue Length (veh),29.0000,64.0000,54.69
Avg Speed (m/s),6.3593,4.4999,41.32
Throughput (veh completed),641.0000,641.0000,0.00
