metric,ai,baseline,improvement_pct
Avg Waiting Time (s),9.9328,23.8461,58.35
Avg Travel Time (s),92.7604,103.9755,10.79
Worst Travel Time (s),266.0000,473.0000,43.76
Avg Queue Length (veh),47.9760,64.7762,25.94
Max Queue Length (veh),107.0000,163.0000,34.36
Avg Speed (m/s),5.1387,4.6323,10.93
Throughput (veh completed),920.0000,920.0000,0.00
