metric,ai,baseline,improvement_pct
Avg Waiting Time (s),4.3346,12.0221,63.94
Avg Travel Time (s),52.3908,60.7679,13.79
Worst Travel Time (s),115.1500,201.5500,42.87
Avg Queue Length (veh),8.6516,13.6322,36.54
Max Queue Length (veh),33.0000,38.0000,13.16
Avg Speed (m/s),7.4644,6.5040,14.77
Throughput (veh completed),525.0000,525.0000,0.00
