metric,ai,baseline,improvement_pct
Avg Waiting Time (s),3.2252,6.4868,50.28
Avg Travel Time (s),48.4305,51.9493,6.77
Worst Travel Time (s),129.1000,140.3500,8.02
Avg Queue Length (veh),6.7208,8.8375,23.95
Max Queue Length (veh),24.0000,29.0000,17.24
Avg Speed (m/s),8.0695,7.6055,6.10
Throughput (veh completed),513.0000,513.0000,0.00
