metric,ai,baseline,improvement_pct
Avg Waiting Time (s),3.3053,25.3211,86.95
Avg Travel Time (s),65.1074,101.9811,36.16
Worst Travel Time (s),120.3500,367.0500,67.21
Avg Queue Length (veh),11.0304,35.2670,68.72
Max Queue Length (veh),21.0000,62.0000,66.13
Avg Speed (m/s),6.1072,4.1651,46.63
Throughput (veh completed),658.0000,658.0000,0.00
