metric,ai,baseline,improvement_pct
Avg Waiting Time (s),4.4530,12.0221,62.96
Avg Travel Time (s),52.5745,60.7679,13.48
Worst Travel Time (s),101.3500,201.5500,49.71
Avg Queue Length (veh),8.9049,13.6322,34.68
Max Queue Length (veh),30.0000,38.0000,21.05
Avg Speed (m/s),7.4751,6.5040,14.93
Throughput (veh completed),525.0000,525.0000,0.00
