metric,ai,baseline,improvement_pct
Avg Waiting Time (s),1.4589,1.3075,-11.58
Avg Travel Time (s),42.1556,41.4971,-1.59
Worst Travel Time (s),95.1000,86.8500,-9.50
Avg Queue Length (veh),2.2685,2.1298,-6.51
Max Queue Length (veh),21.0000,24.0000,12.50
Avg Speed (m/s),8.6069,8.6778,-0.82
Throughput (veh completed),240.0000,240.0000,0.00
