metric,ai,baseline,improvement_pct
Avg Waiting Time (s),2.3716,3.3648,29.52
Avg Travel Time (s),46.1624,47.1010,1.99
Worst Travel Time (s),95.0000,110.3500,13.91
Avg Queue Length (veh),5.2958,5.8421,9.35
Max Queue Length (veh),30.0000,30.0000,0.00
Avg Speed (m/s),8.7361,8.4771,3.06
Throughput (veh completed),456.0000,456.0000,0.00
